model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m30.v10,bin1v1_A,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_B,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_C,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_D,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_E,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_F,710,1240,1400,87,72,97,0000
m30.v10,bin1v1_G,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_H,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_J,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_K,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_L,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_M,710,1240,1400,87,70,97,0000
m30.v10,bin1v1_N,710,1240,1400,87,70,97,0000
m30.v10,bin2v1_A,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_B,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_C,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_D,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_E,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_F,690,1240,1400,87,72,97,0000
m30.v10,bin2v1_G,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_H,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_J,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_K,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_L,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_M,690,1240,1400,87,70,97,0000
m30.v10,bin2v1_N,690,1240,1400,87,70,97,0000
m30.v10,bin3v1_A,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_B,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_C,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_D,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_E,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_F,660,1250,1400,87,72,97,0000
m30.v10,bin3v1_G,660,1250,1400,87,70,97,0000
m30.v10,bin3v1_H,660,1250,1400,87,70,97,0000
m30.v10,bin3v1_J,660,1240,1400,87,70,97,0000
m30.v10,bin3v1_K,660,1240,1400,87,70,97,0000
m30.v10,bin3v1_L,660,1240,1400,87,70,97,0000
m30.v10,bin3v1_M,660,1240,1400,87,70,97,0000
m30.v10,bin3v1_N,660,1240,1400,87,70,97,0000
m30.v10,bin4v1_A,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_B,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_C,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_D,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_E,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_F,650,1250,1400,87,72,97,0000
m30.v10,bin4v1_G,650,1250,1400,87,70,97,0000
m30.v10,bin4v1_H,650,1250,1400,87,70,97,0000
m30.v10,bin4v1_J,650,1240,1400,87,70,97,0000
m30.v10,bin4v1_K,650,1240,1400,87,70,97,0000
m30.v10,bin4v1_L,650,1240,1400,87,70,97,0000
m30.v10,bin4v1_M,650,1240,1400,87,70,97,0000
m30.v10,bin4v1_N,650,1240,1400,87,70,97,0000
m30.v10,bin5v1_A,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_B,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_C,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_D,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_E,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_F,640,1330,1400,87,72,97,0000
m30.v10,bin5v1_G,640,1330,1400,87,70,97,0000
m30.v10,bin5v1_H,640,1330,1400,87,70,97,0000
m30.v10,bin5v1_J,640,1240,1400,87,70,97,0000
m30.v10,bin5v1_K,640,1240,1400,87,70,97,0000
m30.v10,bin5v1_L,640,1240,1400,87,70,97,0000
m30.v10,bin5v1_M,640,1240,1400,87,70,97,0000
m30.v10,bin5v1_N,640,1240,1400,87,70,97,0000
m30.v10,bin6v1_A,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_B,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_C,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_D,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_E,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_F,630,1330,1400,87,72,97,0000
m30.v10,bin6v1_G,630,1330,1400,87,70,97,0000
m30.v10,bin6v1_H,630,1330,1400,87,70,97,0000
m30.v10,bin6v1_J,630,1240,1400,87,70,97,0000
m30.v10,bin6v1_K,630,1240,1400,87,70,97,0000
m30.v10,bin6v1_L,630,1240,1400,87,70,97,0000
m30.v10,bin6v1_M,630,1240,1400,87,70,97,0000
m30.v10,bin6v1_N,630,1240,1400,87,70,97,0000
m30.v10,bin1,710,1180,1190,87,72,99,0
m30.v10,bin2,690,1180,1190,87,72,99,0
m30.v10,bin3,666,1180,1190,87,72,99,0
m30.v10,bin4,640,1180,1190,87,72,99,0
m30.v10,bin5,690,1180,1190,87,72,99,0
m30.v10,bin6,680,1230,1250,87,72,99,0
m30.v10,bin9,670,1230,1250,87,72,99,0
m30.v10,bin10,660,1280,1320,87,72,99,0
m30.v10,bin11,660,1280,1330,87,72,99,0
m30.v10,bin12,650,1280,1330,87,72,99,0
m30.v10,bin13,640,1280,1330,87,72,99,0
m30.v10,bin13v1_A,690,1280,1330,87,72,99,0
m30.v10,bin13v1_B,630,1280,1330,87,72,99,0
m30.v10,bin13v1_C,620,1280,1330,87,72,99,0
m30.v10,bin14,630,1280,1330,87,72,99,0
m30.v10,bin15,610,1280,1330,87,72,99,0
m30.v10,bin16,610,1280,1330,87,72,99,0
m30.v10,bin17,610,1280,1330,87,72,99,0
m30.v10,bin18,610,1280,1330,87,72,99,0
