miner_type,chip_id,baud_rate,board_num,chip_num,chip_column_num,cool_temp,pre_heat_temp,pre_heat_end_freq,pre_heat_timeout,fan_size_cm,cooling_after_test,pass_cores0,pass_cores1,pass_cores2,cool_mode,btminer_test,slot_link,temp_slot1_map,temp_slot3_map,eeprom_slot1_map,eeprom_slot3_map,chip_num0,chip_num1,chip_num2,chip_num3,detect_extend
M60VK10,0x1978,6000000,3,164,4,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60VK20,0x1978,6000000,3,172,4,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60VK30,0x1978,6000000,3,215,5,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60VK40,0x1978,6000000,3,180,4,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60VL30,0x1980,12000000,3,123,3,35,,,,14,,,,,,,,,,,,,,,,
M60S+VL30,0x1980,6000000,3,225,5,35,,,,14,,,,,,,,,,,,,,,,12000000
M60SVK10,0x1978,6000000,3,215,5,35,,,,14,,,,,,,,,,,,,,,,12000000
M60SVK20,0x1978,6000000,3,235,5,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60SVK30,0x1978,6000000,3,245,5,35,25,210,300,14,,,,,,,,,,,,,,,,12000000
M60SVK40,0x1978,6000000,3,225,5,35,,,,14,,,,,,,,,,,,,,,,12000000
M60SVL30,0x1980,6000000,3,172,4,35,,,,14,,,,,,,,,,,,,,,,12000000
M63AP10,0x1978,6000000,4,264,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M63VK20,0x1978,6000000,4,264,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M63VK30,0x1978,6000000,4,272,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M63SVK10,0x1978,6000000,4,340,5,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M63SVK20,0x1978,6000000,4,350,5,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M63SVK30,0x1978,6000000,4,370,5,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M66VK20,0x1978,12000000,4,184,4,30,,,,,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M66VK30,0x1978,12000000,4,192,4,30,,,,,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M66SVK20,0x1978,6000000,3,368,4,30,,,,,,,,,2,,,,,,,,,,,12000000
M66SVK30,0x1978,6000000,3,384,4,30,,,,,,,,,2,,,,,,,,,,,12000000
M66SVK40,0x1978,6000000,4,240,5,30,,,,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,12000000
