miner_type,chip_id,baud_rate,board_num,chip_num,chip_column_num,cool_temp,pre_heat_temp,pre_heat_end_freq,pre_heat_timeout,fan_size_cm,cooling_after_test,pass_cores0,pass_cores1,pass_cores2,cool_mode,btminer_test,slot_link,temp_slot1_map,temp_slot3_map,eeprom_slot1_map,eeprom_slot3_map,chip_num0,chip_num1,chip_num2,chip_num3,detect_extend
M50SVH40,0x1968,9000000,3,148,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVH50,0x1968,12000000,3,135,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVJ10,0x1973,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVJ20,0x1973,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVJ30,0x1973,12000000,3,123,3,35,25,210,300,14,,,,,,,,,,,,,,,,
M50SVJ40,0x1973,12000000,3,129,3,35,25,210,300,14,,,,,,,,,,,,,,,,
M50SVK10,0x1978,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVK20,0x1978,12000000,3,111,3,35,,,,14,,,,,,,,,,,,,,,,
M50SVK30,0x1978,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M50SVK50,0x1978,12000000,3,105,3,35,,,,14,,,,,,,,,,,,,,,,
M50SVK60,0x1978,12000000,3,111,3,35,,,,14,,,,,,,,,,,,,,,,
M53VH30,0x1968,12000000,4,128,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53VH40,0x1968,12000000,4,174,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53VH50,0x1968,12000000,4,162,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53VK30,0x1978,12000000,4,100,2,,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,
M53AP10,0x1968,12000000,4,56,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53HVH10,0x1968,12000000,4,56,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53S++VK10,0x1978,6000000,4,198,3,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M53S++VK30,0x1978,12000000,4,192,3,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M53S++VK30,0x1978,12000000,4,240,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M53S++VK50,0x1978,6000000,4,186,3,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M53S+VJ30,0x1973,9000000,4,240,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,9000000
M53S+VJ40,0x1973,9000000,4,248,4,30,,,,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,9000000
M53S+VK30,0x1978,12000000,4,168,3,30,25,210,300,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,
M53S+VK30,0x1978,12000000,4,180,3,30,25,210,300,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,
M53SVH20,0x1968,12000000,4,198,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53SVH30,0x1968,12000000,4,204,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53SVJ30,0x1973,12000000,4,180,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M53SVJ40,0x1973,9000000,4,192,3,30,25,210,300,,,,,,3,,"""0:1 2:3""",0,2,0,2,,,,,9000000
M56VH30,0x1968,12000000,4,108,3,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M56S++VK10,0x1978,12000000,4,160,4,30,,,,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M56S++VK30,0x1978,12000000,4,176,4,30,,,,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,12000000
M56S++VK40,0x1978,12000000,4,132,3,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M56S++VK50,0x1978,12000000,4,152,4,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M56S+VJ30,0x1973,9000000,4,176,4,30,,,,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,9000000
M56S+VK30,0x1978,12000000,4,108,3,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M56S+VK40,0x1978,12000000,4,114,3,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M56S+VK50,0x1978,12000000,4,120,3,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M56SVH30,0x1968,12000000,4,152,4,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M56SVJ30,0x1973,12000000,4,132,3,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M56SVJ40,0x1973,12000000,4,152,4,30,25,210,300,14,,,,,2,,"""0:1 2:3""",0,2,0,2,,,,,
M59VH30,0x1968,12000000,4,132,3,38,25,210,300,14,1,314,209,105,4,1,"""0:1 2:3""",0,2,0,2,,,,,

